p,11.73,7.64,0.00,0.00,1,9.50
p,11.73,7.32,0.00,-2.38,1,9.50
p,11.73,6.33,0.00,-4.91,1,9.50
p,12.28,5.07,3.93,-5.90,0,32.00
p,14.19,3.65,10.34,-5.14,0,32.00
p,17.16,3.15,12.44,-0.41,0,32.00
p,19.99,4.03,9.96,5.74,1,9.50
p,22.31,5.38,9.30,4.30,1,9.50
p,24.64,6.04,9.30,0.05,0,32.00
p,26.96,4.99,9.30,-7.95,0,32.00
p,29.71,3.03,13.55,-3.51,1,9.50
p,33.14,3.17,12.61,4.83,1,9.50
p,36.00,4.60,10.05,6.87,1,9.50
p,38.52,5.51,10.05,-0.01,0,32.00
p,41.09,4.88,10.81,-2.58,0,32.00
p,44.14,3.32,12.93,-7.09,0,32.00
p,47.96,2.69,15.92,2.69,1,9.50
p,51.39,4.33,12.08,8.28,0,9.50
p,54.57,5.58,11.92,0.72,0,32.00
p,57.59,4.89,12.36,-5.35,0,32.00
p,60.81,2.72,15.84,-6.53,0,32.00
p,65.17,2.24,17.62,2.43,0,9.50
p,69.00,4.03,13.89,8.78,1,9.50
p,72.48,5.25,13.89,1.15,0,32.00
p,75.90,5.19,13.70,-2.41,0,32.00
p,79.45,4.17,14.69,-6.32,0,32.00
p,83.54,2.66,18.07,-3.45,1,9.50
p,88.14,2.32,18.49,-0.36,1,9.50
p,92.69,3.05,17.46,5.56,1,9.50
p,96.39,5.30,11.83,11.68,1,9.50
p,98.83,8.32,9.50,11.11,1,9.50
p,101.20,10.77,9.50,8.74,1,9.50
p,103.58,12.64,9.50,6.36,1,9.50
p,105.96,13.92,9.50,3.99,1,9.50
p,108.49,14.62,9.50,1.46,1,9.50
p,112.03,14.61,15.00,0.00,2,0.10
p,114.93,14.29,9.50,-2.28,1,9.50
p,117.31,13.40,9.50,-4.65,1,9.50
p,119.68,11.35,9.50,-11.90,0,32.00
p,122.21,7.45,9.50,-16.31,0,32.00
p,125.18,3.09,18.18,-12.06,1,9.50
p,130.44,2.19,21.70,1.32,1,9.50
p,134.52,4.97,10.20,16.75,1,9.50
p,136.72,9.02,8.85,15.07,1,9.50
p,138.94,12.48,8.85,12.70,1,9.50
p,141.15,15.34,8.85,10.32,1,9.50
p,143.36,17.56,8.85,6.84,0,32.00
p,145.72,18.35,8.85,0.92,1,9.50
p,147.94,18.26,8.85,-1.46,1,9.50
p,150.30,17.52,8.85,-3.99,1,9.50
p,152.51,16.20,8.85,-6.37,1,9.50
p,154.72,14.12,8.85,-11.37,0,32.00
p,157.09,10.63,8.85,-14.28,1,9.50
p,159.30,6.52,8.85,-19.65,0,32.00
p,163.48,2.42,23.35,-5.65,1,9.50
p,169.56,3.30,16.84,15.15,1,9.50
p,172.36,7.79,9.75,17.77,1,9.50
p,174.96,12.17,9.75,15.24,1,9.50
p,177.40,15.66,9.75,12.49,0,32.00
p,179.84,17.81,9.75,6.36,1,9.50
p,182.44,19.15,9.75,3.83,1,9.50
p,184.87,19.79,9.75,1.46,1,9.50
p,187.31,19.84,9.75,-0.92,1,9.50
p,189.75,19.29,9.75,-3.29,1,9.50
p,192.35,18.05,9.75,-5.83,1,9.50
p,194.79,16.28,9.75,-8.20,1,9.50
p,197.22,13.91,9.75,-10.58,1,9.50
p,199.67,10.94,9.75,-12.96,1,9.50
p,202.26,7.14,9.75,-15.49,1,9.50
p,204.90,5.39,11.09,-2.61,0,32.00
p,207.67,3.67,11.09,-10.61,0,32.00
p,210.58,2.42,11.54,4.91,0,9.50
p,213.02,4.30,8.38,6.80,1,9.50
p,216.00,5.30,15.00,0.00,2,0.10
p,218.32,5.14,8.46,0.19,0,32.00
p,220.43,4.12,8.46,-7.81,0,32.00
p,223.29,2.17,14.11,-0.81,0,32.00
p,226.72,2.79,12.35,6.09,1,9.50
p,229.00,4.97,6.94,9.47,1,9.50
p,230.73,6.67,6.94,3.34,0,32.00
p,232.47,6.44,6.94,-4.66,0,32.00
p,234.45,5.25,9.06,-3.76,0,32.00
p,237.00,3.94,9.58,-8.67,0,32.00
p,240.25,2.25,15.60,-4.04,0,32.00
p,244.22,2.24,15.66,1.28,0,32.00
p,247.75,3.31,11.42,8.68,1,9.50
p,249.90,5.81,6.63,10.31,1,9.50
p,251.56,8.07,6.63,7.93,1,9.50
p,253.21,9.74,6.63,5.56,1,9.50
p,254.87,10.81,6.63,3.18,1,9.50
p,256.64,11.30,6.63,0.65,1,9.50
p,258.30,11.14,6.63,-2.09,0,32.00
p,259.96,9.54,6.63,-10.12,0,32.00
p,261.73,5.75,6.63,-16.75,1,9.50
p,264.88,3.03,15.42,-7.71,1,9.50
p,269.09,2.51,17.12,1.04,1,9.50
p,272.71,4.21,10.44,11.65,1,9.50
p,274.60,7.53,6.60,11.52,1,9.50
p,276.25,10.10,6.60,9.14,1,9.50
p,277.90,12.07,6.60,6.77,1,9.50
